Age,Gender,Stream,Internships,CGPA,HistoryOfBacklogs,teamworking,problemSolvingskills,techSkillsLevel,comSkillsLevel,resumeLevel,projectsNo,easyProjects,mediumProjects,hardProjects,advancedProjects,personalityLevel,achievementsType,winnerNo,runnerNo,participantNo
22,Male,Electronics And Communication,1,7.74,1,2,6,3,7,5,3,1,3,1,3,10,hackathon and extracurricular,3,3,4
21,Female,Computer Science,0,7.53,1,2,6,9,8,3,3,3,3,4,1,2,hackathon and others,3,3,6
22,Female,Information Technology,1,9.86,0,2,1,7,8,8,6,2,1,2,1,4,coding competition,0,1,2
21,Male,Information Technology,0,6.56,1,3,8,4,6,6,2,3,3,4,4,6,hackathon and extracurricular,2,1,7
22,Male,Mechanical,0,6.45,0,2,9,0,7,4,1,4,1,0,0,10,coding competition,3,3,3
22,Male,Electronics And Communication,0,7.60,0,2,7,7,8,4,2,4,4,4,2,6,hackathon and others,2,2,5
21,Male,Computer Science,0,8.92,1,2,9,0,3,5,1,4,0,2,4,10,hackathon and coding competition,2,4,3
21,Male,Information Technology,1,8.86,0,2,7,3,9,8,3,1,0,4,4,5,hackathon and extracurricular,2,2,1
21,Male,Computer Science,2,6.34,0,2,5,0,7,4,3,2,0,1,4,1,hackathon and others,2,4,1
21,Female,Computer Science,1,6.59,0,2,6,1,9,7,2,1,0,0,4,7,hackathon and extracurricular,2,1,5
22,Male,Computer Science,1,7.78,0,2,9,1,8,3,1,2,4,2,0,9,hackathon,3,1,5
22,Female,Electrical,1,9.39,1,3,9,2,5,7,3,3,4,0,2,6,hackathon and coding competition,1,2,4
21,Female,Computer Science,2,7.94,1,1,10,4,7,4,0,4,1,1,0,6,hackathon and others,2,1,2
21,Male,Computer Science,1,6.81,1,2,4,7,9,5,0,2,4,1,4,3,hackathon and others,2,3,5
21,Female,Electronics And Communication,2,6.10,0,3,9,9,9,3,0,0,4,4,3,1,hackathon and coding competition,1,3,4
22,Male,Mechanical,0,8.04,0,1,10,8,6,3,2,4,2,3,0,5,hackathon and coding competition,3,0,1
22,Female,Computer Science,1,9.83,0,3,3,4,7,3,3,2,1,2,3,1,hackathon and extracurricular,0,4,5
21,Male,Civil,0,7.58,0,2,8,9,7,9,3,1,2,1,3,6,hackathon and extracurricular,0,3,7
21,Male,Computer Science,1,9.44,0,1,4,4,5,4,6,0,0,3,0,6,coding competition,0,1,5
22,Male,Computer Science,1,7.74,0,1,1,7,5,9,1,2,2,1,2,3,hackathon and others,0,3,7
22,Male,Civil,0,7.94,0,2,6,3,9,8,2,2,4,0,4,6,hackathon and extracurricular,0,3,2
21,Male,Computer Science,1,7.89,0,1,4,6,6,6,2,4,4,1,2,9,hackathon and others,0,1,2
22,Male,Civil,0,8.08,0,2,7,0,7,3,3,0,3,2,1,7,coding competition,1,3,1
22,Male,Electronics And Communication,1,9.40,1,2,1,2,8,8,4,0,3,3,2,5,hackathon,0,0,2
22,Male,Electronics And Communication,0,6.96,0,3,9,3,7,6,0,4,0,2,2,1,hackathon and coding competition,0,4,7
21,Male,Electrical,0,6.79,0,1,4,3,9,8,2,1,2,4,1,9,hackathon and extracurricular,0,2,2
22,Male,Electrical,1,7.68,0,1,10,0,5,8,2,3,0,4,2,5,hackathon and coding competition,1,0,5
